REF,AAA-System,AAAAlloys,AAAAAAProcessing Condition,PHASE,Phase,H    ev/atom,Hf  kJ/mol,Hmix,Smix/R,Delta,HV,Modulus (GPa),yield(MPa),compressive stregth,Ε(%),Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Ge,Hf,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Pr,Rh,Ru,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,W,Y,Yb,Zn,Zr
4,Al-Co-Cr-Cu-Fe,Al2.3CoCrCuFe,AC,SS,FCC+BCC,-0.342,-33,-6.9841,-1.5364717,6.522120857,603,,,,,0,0.365079365,0,0,0,0,,,0.158730159,0.158730159,0.158730159,0,,0.158730159,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al2.5CoCrCuFe,AC,SS,FCC+BCC,-0.345,-33.29,-7.3373,-1.519382665,6.570526311,624,,,,,0,0.384615385,0,0,0,0,,,0.153846154,0.153846154,0.153846154,0,,0.153846154,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al2.8CoCrCuFe,AC,SS,BCC,-0.348,-33.58,-7.7682,-1.492961676,6.619270717,657,,,,,0,0.411764706,0,0,0,0,,,0.147058824,0.147058824,0.147058824,0,,0.147058824,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Al-Co-Cr-Cu-Fe,Al3.0CoCrCuFe,AC,SS,BCC,-0.347,-33.48,-8,-1.475076311,6.63901023,644,,,,,0,0.428571429,0,0,0,0,,,0.142857143,0.142857143,0.142857143,0,,0.142857143,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
4,Co-Cr-Cu-Fe,CoCrCuFe,AC,SS,FCC,-0.032,-3.09,6.25,-1.386294361,1.110589162,134,,,,,0,0,0,0,0,0,,,0.25,0.25,0.25,0,,0.25,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5FeNi,AC,SS+IM,FCC+B2,-0.281,-27.11,-7.9339,-1.767761472,5.512796493,,,,,,0,0.181818182,0,0,0,0,,,0.181818182,0.181818182,0.090909091,0,,0.181818182,,0,0,0,,0,0,0,0,0,0,0,0.181818182,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCr1.5Cu0.5FeNi,AC,SS,BCC+FCC,-0.258,-24.89,-7.5556,-1.748155457,5.341354326,,,,,,0,0.166666667,0,0,0,0,,,0.166666667,0.25,0.083333333,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5Fe1.5Ni,AC,SS+IM,FCC+B2,-0.258,-24.89,-7.1389,-1.748155457,5.370793132,,,,,,0,0.166666667,0,0,0,0,,,0.166666667,0.166666667,0.083333333,0,,0.25,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,AlCoCrCu0.5FeNi1.5,AC,SS,BCC+FCC,-0.273,-26.34,-8.2778,-1.748155457,5.351752648,,,,,,0,0.166666667,0,0,0,0,,,0.166666667,0.166666667,0.083333333,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.25,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,Al-Co-Cr-Cu-Fe-Ni,Al1.5CoCrCu0.5FeNi,AC,IM,B2,-0.345,-33.29,-10.1389,-1.748155457,6.11499676,,,,,,0,0.25,0,0,0,0,,,0.166666667,0.166666667,0.083333333,0,,0.166666667,,0,0,0,,0,0,0,0,0,0,0,0.166666667,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
