GFA,Class
Cu45Zr45Ag10,BMG
Cu45Zr48Al7,BMG
Cu46Zr46Ag8,BMG
Cu47Zr47Ag6,BMG
Cu47Zr47Al6,BMG
Cu48Zr48Ag4,BMG
Cu48Zr48Al4,BMG
Cu49Hf42Al9,BMG
Cu49Zr49Ag2,BMG
Cu50Hf43Al7,BMG
Cu50Mg18.2Ca31.8,BMG
Cu50Mg22.7Ca27.3,BMG
Cu50Zr42.5Ti7.5,BMG
Cu50Zr43Al7,BMG
Cu50Zr45Al5,BMG
Cu52.5Hf40Al7.5,BMG
Cu52.5Zr40Ga7.5,BMG
Cu52.5Zr42.5Ga5,BMG
Cu54.5Mg18.2Ca27.3,BMG
Cu54.5Mg27.3Ca18.2,BMG
Cu54Zr36Ag10,BMG
Cu55Zr40Ga5,BMG
Cu55Zr42.5Ga2.5,BMG
Cu57.5Hf27.5Ti15,BMG
Cu57.5Zr37.5Ga5,BMG
Cu57Zr36Ag7,BMG
Cu60Hf17.5Ti22.5,BMG
Cu60Hf20Ti20,BMG
Cu60Hf25Ti15,BMG
Cu60Hf30Ti10,BMG
Cu60Zr30Ti10,BMG
Cu60Zr33Ti7,BMG
Dy55Al25Co20,BMG
Er55Al25Co20,BMG
Fe41.5Ni41.5P17,BMG
Fe71Nb6B23,BMG
Gd55Al25Co20,BMG
Gd60Co25Al15,BMG
Gd60Ni15Al25,BMG
Hf62Ni25Al13,BMG
Ho55Al25Co20,BMG
La55Al25Co20,BMG
La55Al25Cu20,BMG
La55Al25Ni20,BMG
La60Al20Co20,BMG
La62Al14Cu24,BMG
La66Al14Cu20,BMG
Lu55Al25Co20,BMG
Mg50Ni30La20,BMG
Mg57Cu34Nd9,BMG
Mg57Ni26La17,BMG
Mg58.5Cu30.5Gd11,BMG
Mg58.5Cu30.5Y11,BMG
Mg59Cu31Gd10,BMG
Mg60.5Cu28.5Gd11,BMG
Mg60Cu25Gd15,BMG
Mg60Ni23.6La16.4,BMG
Mg61.5Cu29.5Gd9,BMG
Mg61Cu28Gd11,BMG
Mg61Cu29Gd10,BMG
Mg62.5Cu26.5Gd11,BMG
Mg63.5Cu27.5Gd9,BMG
Mg63Cu27Gd10,BMG
Mg64.5Cu24.5Gd11,BMG
Mg64Ni21Nd15,BMG
Mg65.5Cu25.5Gd9,BMG
Mg65Cu20Y15,BMG
Mg65Cu25Dy10,BMG
Mg65Cu25Er10,BMG
Mg65Cu25Gd10,BMG
Mg65Cu25Ho10,BMG
Mg65Cu25Nd10,BMG
Mg65Cu25Pr10,BMG
Mg65Cu25Tb10,BMG
Mg65Cu25Y10,BMG
Mg65Ni20La15,BMG
Mg65Ni20Nd15,BMG
Mg67.5Ag22.5Ca10,BMG
Mg67.5Ag25Yb7.5,BMG
Mg67.5Pd17.5Yb15,BMG
Mg67.5Pd20Yb12.5,BMG
Mg67.5Pd22.5Ca10,BMG
Mg67.5Pd22.5Yb10,BMG
Mg67.5Pd25Ca7.5,BMG
Mg69Ni18La13,BMG
Mg70Ag20Ca10,BMG
Mg70Ag20Yb10,BMG
Mg70Ag22.5Yb7.5,BMG
Mg70Ni15Nd15,BMG
Mg70Ni20La10,BMG
Mg70Ni20Y10,BMG
Mg70Pd15Yb15,BMG
Mg70Pd17.5Ca12.5,BMG
Mg70Pd17.5Yb12.5,BMG
Mg70Pd20Ca10,BMG
Mg70Pd20Yb10,BMG
Mg70Pd22.5Ca7.5,BMG
Mg71Ni18La11,BMG
Mg72.5Ag17.5Yb10,BMG
Mg72.5Ag20Yb7.5,BMG
Mg72.5Pd15Ca12.5,BMG
Mg72.5Pd15Yb12.5,BMG
Mg72.5Pd17.5Ca10,BMG
Mg72.5Pd17.5Yb10,BMG
Mg72.5Pd18.75Yb8.75,BMG
Mg72.5Pd20Ca7.5,BMG
Mg72.5Pd20Yb7.5,BMG
Mg72.5Pd22.5Ca5,BMG
Mg73.75Pd16.25Yb10,BMG
Mg75Ag15Ca10,BMG
Mg75Ag15Yb10,BMG
Mg75Ag17.5Yb7.5,BMG
Mg75Ag20Ca5,BMG
Mg75Ni15Gd10,BMG
Mg75Ni15Nd10,BMG
Mg75Pd15Yb10,BMG
Mg75Pd17.5Yb7.5,BMG
Mg76.9Ag15.4Yb7.7,BMG
Mg77.5Pd15Yb7.5,BMG
Mg80Ni10Nd10,BMG
Nd55Al25Co20,BMG
Nd60Fe30Al10,BMG
Ni60Nb20Zr20,BMG
Ni60Nb25Zr15,BMG
Ni60Nb30Ta10,BMG
Ni60Nb30Zr10,BMG
Ni60Nb35Sn5,BMG
Ni60Nb35Zr5,BMG
Pd16Ni64P20,BMG
Pd32Ni48P20,BMG
Pd40Cu40P20,BMG
Pd48Ni32P20,BMG
Pd56Fe24P20,BMG
Pd60Cu20P20,BMG
Pd60Ni15P25,BMG
Pd64Fe16P20,BMG
Pd64Ni16P20,BMG
Pd71.5Cu12Si16.5,BMG
Pd73.5Cu10Si16.5,BMG
Pd73Fe7Si20,BMG
Pd76Au6Si18,BMG
Pd77.5Cu6Si16.5,BMG
Pd77Cu6Si17,BMG
Pd78Cu6Si16,BMG
Pd79.5Cu4Si16.5,BMG
Pd81.5Cu2Si16.5,BMG
Pr55Al25Co20,BMG
Pr68Cu25Al7,BMG
Pt60Ni15P25,BMG
Sm55Al25Co20,BMG
Sr60Mg18Zn22,BMG
Ta42Ni36Co22,BMG
Tb55Al25Co20,BMG
Ti45Zr20Be35,BMG
Ti50Cu42.5Ni7.5,BMG
Tm55Al25Co20,BMG
W46Ru37B17,BMG
Y55Al25Co20,BMG
Y56Al24Co20,BMG
Y60Fe30Al10,BMG
Y6Fe72B22,BMG
Zr45Ti21Ni34,BMG
Zr47Cu46Al7,BMG
Zr50Cu25Be25,BMG
Zr50Cu38Ag12,BMG
Zr50Cu40Ag10,BMG
Zr50Cu43Ag7,BMG
Zr50Cu45Ag5,BMG
Zr50Cu48Ag2,BMG
Zr53Ni23.5Al23.5,BMG
Zr55.8Ni24.8Al19.4,BMG
Zr55Al20Co25,BMG
