Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
[(Co0.8Fe0.2)0.75B0.2Si0.05]96Nb4 [33],813,853,1445,2.5,0.563,40,0.37777,0.61799,0.06329,1.3497,0.36574,0.59031,1.6118,1.9788,4.2918
[(Co0.7Fe0.3)0.75B0.2Si0.05]96Nb4 [33],820,860,1430,3.5,0.573,40,0.38222,0.62937,0.06557,1.4098,0.3723,0.6014,1.6222,2.1705,4.4524
[(Co0.6Fe0.4)0.75B0.2Si0.05]96Nb4 [33],823,865,1418,4,0.58,42,0.38599,0.63963,0.07059,1.4538,0.37927,0.61001,1.6314,2.3279,4.6093
Au55Cu25Si20 [34],348,383,654,0.5,0.5321,35,0.3822,0.6391,0.1144,1.2516,0.3831,0.5856,1.6327,1.8148,4.6728
Au46Ag5Cu29Si20 [34],395,420,664,1,0.5949,25,0.3966,0.6702,0.0929,1.5613,0.4009,0.6325,1.6582,2.7865,5.1417
Au52Pd2.3Cu29.2Si16.5 [34],393,427,651,2,0.6037,34,0.409,0.7081,0.1318,1.655,0.4254,0.6559,1.6902,3.3444,5.9701
Au49Ag5.5Pd2.3Cu26.9Si16.3 [34],401,459,644,5,0.6227,58,0.4392,0.8028,0.2387,1.8889,0.4723,0.7127,1.7673,5.3779,9.4185
Hf47Cu29.25Ni9.75Al14 [35],790,875,1278,10,0.6182,85,0.4231,0.7512,0.1742,1.793,0.4494,0.6847,1.7257,4.2562,7.2029
Hf48Cu29.25Ni9.75Al13 [35],785,874,1280,10,0.6133,89,0.4232,0.7523,0.1798,1.7657,0.4492,0.6828,1.7267,4.1623,7.2527
Hf51Cu27.75Ni9.25Al12 [35],777,872,1344,8,0.5781,95,0.4111,0.7195,0.1676,1.5379,0.4281,0.6488,1.7004,3.0413,6.3139
Gd60Co25Al15 [36],572,617,952,5,0.6008,45,0.4049,0.6954,0.1184,1.6237,0.4177,0.6481,1.6795,3.1448,5.6686
Gd60Ni15Al25 [36],603,648,1006,4,0.5994,45,0.4027,0.6889,0.1117,1.6079,0.4136,0.6441,1.674,3.0488,5.5242
Zr65Al7.5Cu17.5Ni10 [24],656.5,735.6,1167,16,0.56255,79.1,0.4034,0.69811,0.15495,1.4409,0.41566,0.63033,1.683,2.5949,5.7996
Zr57Ti5Al10Cu20Ni8 [24],676.7,720,1145,10,0.591,43.3,0.39524,0.66664,0.09246,1.5375,0.3989,0.62882,1.655,2.6974,5.078
Zr65.5Al5.6Ni6.5Cu22.4 [24],630,733,1211,3,0.52023,103,0.39815,0.69034,0.17728,1.2616,0.40154,0.60528,1.6837,2.0211,5.712
Zr41.2Ti13.8Cu12.5Ni10Be22.5 [24],623,672,996,50,0.6255,49,0.41507,0.7239,0.13137,1.8016,0.43483,0.6747,1.7042,3.9881,6.3503
Zr54Cu46 [24],696,746,1201,2,0.57952,50,0.39325,0.66278,0.09901,1.4772,0.39767,0.62115,1.6514,2.508,5.0204
Zr47Cu46Al7 [24],705,781,1163,3,0.60619,76,0.41809,0.73689,0.16594,1.7052,0.44083,0.67154,1.714,3.7732,6.7627
Zr41Ti14Cu12.5Ni8Be22.5C2 [24],628,683,997,5,0.62989,55,0.42031,0.74022,0.14905,1.8509,0.44466,0.68506,1.7175,4.3503,6.8236
Zr41Ti14Cu12.5Ni2Be22.5C8 [24],629,727,992,3,0.63407,98,0.44849,0.83165,0.26997,2.0028,0.48605,0.73286,1.7899,6.5117,11.219
Zr26Ti10Cu8Ni8Be20Y4Mg24 [24],650,700,951,5,0.68349,50,0.43723,0.78864,0.16611,2.3256,0.47363,0.73607,1.7604,7.2221,8.5779
Zr40Ti15Cu11Ni11Be21.5Y1Mg0.5 [24],630,674,975,5,0.64615,44,0.41994,0.73641,0.12754,1.9536,0.44162,0.69128,1.716,4.6867,6.6813
Zr48Nb8Cu14Ni12Be18 [24],656,724,1072,8,0.61194,68,0.41898,0.73881,0.16346,1.7404,0.44253,0.67537,1.7156,3.9218,6.8111
Zr48Nb8Cu12Fe8Be24 [24],658,751,1071,8,0.61438,93,0.43436,0.78805,0.22518,1.8184,0.46443,0.70121,1.7557,4.8258,8.6933
Zr36Nb12Cu10Ni8Be20Y2Mg12 [24],653,733,1029,5,0.6346,80,0.43579,0.79009,0.21277,1.9495,0.47001,0.71234,1.7571,5.463,8.741
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12 [24],670,712,1029,5,0.65112,42,0.41907,0.73275,0.11699,1.9833,0.43818,0.69193,1.7138,4.7472,6.5655
Zr54Al15Ni10Cu19Y2 [24],714,787,1112,5,0.64209,73,0.431,0.77338,0.18342,1.9774,0.46341,0.70773,1.7443,5.3199,7.9869
Zr53Al14Ni10Cu19Y4 [24],668,766,1069,5,0.62488,98,0.44099,0.80823,0.24439,1.9102,0.4749,0.71656,1.7716,5.5734,9.7162
Zr51Cu20.7Ni12Al16.3 [24],722,800,1132,3,0.63781,78,0.4315,0.77562,0.19024,1.9512,0.46397,0.70671,1.7458,5.2402,8.0878
Zr55Al20Co25 [24],761,840,1245,2.5,0.61124,79,0.41874,0.73815,0.16322,1.7355,0.44212,0.6747,1.7151,3.8972,6.7922
Zr48Cu45Al7 [24],698,758,1208,5,0.57781,60,0.39769,0.67715,0.11765,1.4863,0.40681,0.62748,1.6638,2.6128,5.3073
Zr48Cu43Al7Ag2 [24],700,761,1152,12,0.60764,61,0.41091,0.71354,0.13496,1.6836,0.42865,0.66059,1.6948,3.4844,6.1012
Zr48Cu42Al7Ag3 [24],700,763,1135,10,0.61674,63,0.4158,0.72775,0.14483,1.754,0.43708,0.67225,1.7067,3.8596,6.473
Zr48Cu40Al7Ag5 [24],699,769,1121,10,0.62355,70,0.42253,0.74844,0.16588,1.8223,0.4487,0.68599,1.7237,4.3383,7.1002
Zr48Cu37Al7Ag8 [24],698,765,1125,10,0.62044,67,0.41964,0.73956,0.15691,1.7916,0.44377,0.68,1.7164,4.1201,6.8191
Zr48Cu36Ag8Al8 [37],690,791,1143,25,0.604,101,0.43153,0.7804,0.223,1.7461,0.45863,0.69204,1.7501,4.4049,8.3717
Zr48Cu34Pd2Ag8Al8 [37],699,794,1140,30,0.613,95,0.43176,0.77982,0.2154,1.8005,0.46092,0.69649,1.7491,4.636,8.3225
Zr50Cu48Ag2 [28],668,719,1192,2,0.5604,51,0.3866,0.646,0.0973,1.3721,0.3879,0.6032,1.6367,2.1468,4.7441
Zr50Cu45Ag5 [28],669,728,1188,4,0.5631,59,0.392,0.6625,0.1137,1.4027,0.3979,0.6128,1.6513,2.3017,5.0393
Zr50Cu43Ag7 [28],669,727,1171,4,0.5713,58,0.3951,0.6704,0.1155,1.4482,0.4027,0.6208,1.658,2.4671,5.1801
Zr50Cu40Ag10 [28],667,733,1177,5,0.5667,66,0.3975,0.6788,0.1294,1.4373,0.4071,0.6228,1.6656,2.4801,5.361
Zr50Cu38Ag12 [28],663,734,1187,4,0.5586,71,0.3968,0.6782,0.1355,1.4008,0.4058,0.6184,1.6656,2.3714,5.3616
(Fe0.75B0.2Si0.05)96Nb4 [24],835,880,1475,1.5,0.5661,45,0.38095,0.62712,0.07031,1.375,0.37282,0.59661,1.62,2.0756,4.4263
[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4 [24],832,877,1460,2,0.56986,45,0.38264,0.63151,0.07166,1.3965,0.37549,0.60068,1.6239,2.1468,4.4906
[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4 [24],830,880,1431,2.5,0.58001,50,0.38921,0.6499,0.08319,1.4642,0.38812,0.61495,1.6403,2.4058,4.7848
[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4 [24],828,878,1413,3.5,0.58599,50,0.39179,0.65676,0.08547,1.5009,0.39225,0.62137,1.6464,2.5399,4.8996
